sku,descricao,categoria,marca,aplicacao,preco_tabela,custo_unitario,unidade,ativo,data_lancamento
SKU00208,Óleo Lubrificante Fram Linha VW KIT 3,Óleo Lubrificante,Fram,Linha VW,79.82,49.53,KIT 3,S,
SKU00209,Óleo Lubrificante SKF Linha GM KIT 5,Óleo Lubrificante,SKF,Linha GM,58.27,35.14,KIT 5,S,2026-03-12
SKU00210,Óleo Lubrificante SKF Linha VW CX 24,Óleo Lubrificante,SKF,Linha VW,71.33,46.01,CX 24,S,
SKU00211,Óleo Lubrificante Fram Linha Ford CX 24,Óleo Lubrificante,Fram,Linha Ford,85.69,56.20,CX 24,N,
SKU00212,Óleo Lubrificante Fram Linha Renault KIT 3,Óleo Lubrificante,Fram,Linha Renault,85.34,53.35,KIT 3,S,2025-12-19
SKU00213,Óleo Lubrificante Bosch Linha Renault UN,Óleo Lubrificante,Bosch,Linha Renault,55.69,35.69,UN,S,
SKU00214,Óleo Lubrificante SKF Linha Hyundai KIT 3,Óleo Lubrificante,SKF,Linha Hyundai,69.52,42.46,KIT 3,S,2026-02-10
SKU00215,Óleo Lubrificante SKF Linha VW UN,Óleo Lubrificante,SKF,Linha VW,32.46,20.42,UN,S,
SKU00216,Óleo Lubrificante Fram Linha GM CX 12,Óleo Lubrificante,Fram,Linha GM,31.58,21.35,CX 12,S,2026-01-17
SKU00217,Óleo Lubrificante SKF Linha Toyota UN,Óleo Lubrificante,SKF,Linha Toyota,45.09,29.59,UN,S,
SKU00218,Óleo Lubrificante SKF Linha Peugeot CX 12,Óleo Lubrificante,SKF,Linha Peugeot,55.67,33.95,CX 12,S,2025-09-06
SKU00219,Óleo Lubrificante SKF Universal CX 24,Óleo Lubrificante,SKF,Universal,32.04,20.76,CX 24,S,
SKU00220,Óleo Lubrificante Bosch Linha Ford UN,Óleo Lubrificante,Bosch,Linha Ford,65.80,44.42,UN,S,2026-02-19
SKU00221,Óleo Lubrificante Fram Linha Ford KIT 5,Óleo Lubrificante,Fram,Linha Ford,63.34,39.62,KIT 5,S,
SKU00222,Óleo Lubrificante Bosch Linha Hyundai UN,Óleo Lubrificante,Bosch,Linha Hyundai,48.47,31.98,UN,S,
SKU00223,Óleo Lubrificante Fram Linha Citroën KIT 5,Óleo Lubrificante,Fram,Linha Citroën,59.35,35.93,KIT 5,S,
SKU00224,Óleo Lubrificante SKF Linha Fiat UN,Óleo Lubrificante,SKF,Linha Fiat,83.98,51.58,UN,S,
SKU00225,Óleo Lubrificante Bosch Linha Fiat CX 24,Óleo Lubrificante,Bosch,Linha Fiat,84.23,53.23,CX 24,S,2025-01-28
SKU00226,Lâmpada Automotiva NGK Linha Peugeot CX 12,Lâmpada Automotiva,NGK,Linha Peugeot,44.66,22.27,CX 12,S,
SKU00227,Lâmpada Automotiva Varga Universal CX 24,Lâmpada Automotiva,Varga,Universal,18.93,9.94,CX 24,S,
SKU00228,Lâmpada Automotiva NGK Linha Nissan CX 24,Lâmpada Automotiva,NGK,Linha Nissan,24.33,11.57,CX 24,S,2025-02-16
SKU00229,Lâmpada Automotiva NGK Linha Hyundai CX 12,Lâmpada Automotiva,NGK,Linha Hyundai,44.32,22.73,CX 12,S,
SKU00230,Lâmpada Automotiva Cofap Linha Nissan CX 12,Lâmpada Automotiva,Cofap,Linha Nissan,64.62,33.71,CX 12,S,
SKU00231,Lâmpada Automotiva Varga Linha Hyundai KIT 3,Lâmpada Automotiva,Varga,Linha Hyundai,41.53,20.35,KIT 3,S,
SKU00232,Lâmpada Automotiva Varga Linha Ford CX 24,Lâmpada Automotiva,Varga,Linha Ford,49.40,26.50,CX 24,S,
SKU00233,Lâmpada Automotiva Cofap Linha Toyota KIT 5,Lâmpada Automotiva,Cofap,Linha Toyota,46.48,22.50,KIT 5,S,
SKU00234,Lâmpada Automotiva Varga Linha Honda CX 6,Lâmpada Automotiva,Varga,Linha Honda,41.22,20.62,CX 6,S,
SKU00235,Lâmpada Automotiva NGK Linha Honda KIT 3,Lâmpada Automotiva,NGK,Linha Honda,66.46,35.18,KIT 3,N,
SKU00236,Lâmpada Automotiva Cofap Linha Honda KIT 3,Lâmpada Automotiva,Cofap,Linha Honda,45.73,23.85,KIT 3,S,
SKU00237,Lâmpada Automotiva Varga Linha VW CX 6,Lâmpada Automotiva,Varga,Linha VW,60.11,29.39,CX 6,S,2025-04-18
SKU00238,Lâmpada Automotiva NGK Linha Renault CX 24,Lâmpada Automotiva,NGK,Linha Renault,51.05,25.07,CX 24,S,
SKU00239,Lâmpada Automotiva Varga Linha Renault KIT 5,Lâmpada Automotiva,Varga,Linha Renault,15.33,7.97,KIT 5,S,
SKU00240,Lâmpada Automotiva NGK Linha Ford CX 12,Lâmpada Automotiva,NGK,Linha Ford,16.11,8.55,CX 12,S,
SKU00241,Lâmpada Automotiva Cofap Linha GM CX 6,Lâmpada Automotiva,Cofap,Linha GM,28.02,12.90,CX 6,S,
SKU00242,Lâmpada Automotiva Cofap Linha Hyundai CX 24,Lâmpada Automotiva,Cofap,Linha Hyundai,50.13,25.32,CX 24,S,
SKU00243,Lâmpada Automotiva Cofap Universal KIT 5,Lâmpada Automotiva,Cofap,Universal,53.55,26.58,KIT 5,S,
SKU00244,Lâmpada Automotiva Cofap Linha Ford KIT 5,Lâmpada Automotiva,Cofap,Linha Ford,40.39,19.28,KIT 5,S,
SKU00245,Lâmpada Automotiva Cofap Universal KIT 5,Lâmpada Automotiva,Cofap,Universal,31.14,16.02,KIT 5,S,
SKU00246,Lâmpada Automotiva NGK Linha VW CX 12,Lâmpada Automotiva,NGK,Linha VW,46.42,22.50,CX 12,S,
SKU00247,Lâmpada Automotiva NGK Linha VW UN,Lâmpada Automotiva,NGK,Linha VW,59.96,31.96,UN,N,
SKU00248,Amortecedor Varga Linha Citroën UN,Amortecedor,Varga,Linha Citroën,59.28,31.55,UN,S,
SKU00249,Amortecedor Varga Linha GM KIT 3,Amortecedor,Varga,Linha GM,105.39,63.97,KIT 3,S,
SKU00250,Amortecedor Varga Linha Ford CX 24,Amortecedor,Varga,Linha Ford,69.13,39.29,CX 24,S,2025-09-12
SKU00251,Amortecedor Varga Linha Ford CX 12,Amortecedor,Varga,Linha Ford,55.89,32.30,CX 12,S,
SKU00252,Amortecedor Varga Linha Toyota UN,Amortecedor,Varga,Linha Toyota,100.47,53.31,UN,S,
SKU00253,Amortecedor Varga Linha GM KIT 3,Amortecedor,Varga,Linha GM,122.40,65.54,KIT 3,S,
SKU00254,Amortecedor Varga Linha VW CX 24,Amortecedor,Varga,Linha VW,113.38,62.04,CX 24,S,
SKU00255,Amortecedor Tecfil Linha GM KIT 5,Amortecedor,Tecfil,Linha GM,160.17,95.73,KIT 5,S,
SKU00256,Amortecedor Tecfil Universal KIT 5,Amortecedor,Tecfil,Universal,70.21,40.51,KIT 5,S,
SKU00257,Amortecedor Tecfil Linha Nissan UN,Amortecedor,Tecfil,Linha Nissan,89.72,50.25,UN,S,
SKU00258,Amortecedor Varga Linha VW CX 12,Amortecedor,Varga,Linha VW,134.63,73.13,CX 12,S,
SKU00259,Amortecedor Nakata Linha Fiat CX 12,Amortecedor,Nakata,Linha Fiat,55.57,30.88,CX 12,S,
SKU00260,Amortecedor Nakata Linha Toyota CX 24,Amortecedor,Nakata,Linha Toyota,119.32,72.11,CX 24,S,
SKU00261,Amortecedor Nakata Linha VW CX 6,Amortecedor,Nakata,Linha VW,140.01,75.87,CX 6,S,
SKU00262,Amortecedor Tecfil Linha VW KIT 3,Amortecedor,Tecfil,Linha VW,153.25,92.91,KIT 3,S,
SKU00263,Amortecedor Nakata Universal CX 24,Amortecedor,Nakata,Universal,128.31,70.70,CX 24,S,
SKU00264,Amortecedor Nakata Linha Toyota CX 12,Amortecedor,Nakata,Linha Toyota,138.37,73.87,CX 12,S,
SKU00265,Amortecedor Tecfil Linha Citroën KIT 3,Amortecedor,Tecfil,Linha Citroën,64.75,35.08,KIT 3,S,2025-04-13
SKU00266,Amortecedor Nakata Linha VW CX 12,Amortecedor,Nakata,Linha VW,122.02,68.23,CX 12,S,
SKU00267,Amortecedor Varga Linha Renault KIT 5,Amortecedor,Varga,Linha Renault,152.91,87.35,KIT 5,N,
SKU00268,Amortecedor Varga Linha Peugeot CX 24,Amortecedor,Varga,Linha Peugeot,85.03,51.00,CX 24,S,
SKU00269,Amortecedor Tecfil Linha Citroën CX 24,Amortecedor,Tecfil,Linha Citroën,56.32,29.91,CX 24,S,
SKU00270,Amortecedor Nakata Linha Fiat CX 12,Amortecedor,Nakata,Linha Fiat,120.35,73.28,CX 12,N,
SKU00271,Amortecedor Varga Linha Hyundai CX 6,Amortecedor,Varga,Linha Hyundai,125.64,71.19,CX 6,S,
SKU00272,Amortecedor Varga Linha Hyundai UN,Amortecedor,Varga,Linha Hyundai,67.70,40.72,UN,S,
SKU00273,Amortecedor Tecfil Linha Hyundai UN,Amortecedor,Tecfil,Linha Hyundai,136.29,79.78,UN,N,2025-05-10
SKU00274,Amortecedor Magneti Marelli Linha Fiat UN,Amortecedor,Magneti Marelli,Linha Fiat,127.89,72.62,UN,S,
SKU00275,Amortecedor Nakata Linha Toyota CX 6,Amortecedor,Nakata,Linha Toyota,72.75,38.96,CX 6,S,
SKU00276,Amortecedor Tecfil Linha Renault KIT 5,Amortecedor,Tecfil,Linha Renault,163.94,90.92,KIT 5,S,
SKU00277,Amortecedor Varga Linha Toyota KIT 3,Amortecedor,Varga,Linha Toyota,92.87,52.38,KIT 3,S,2025-01-07
SKU00278,Palheta Limpador Cofap Linha Renault CX 6,Palheta Limpador,Cofap,Linha Renault,39.60,23.98,CX 6,S,2025-06-23
SKU00279,Palheta Limpador Cofap Linha Renault CX 6,Palheta Limpador,Cofap,Linha Renault,37.93,23.87,CX 6,S,
SKU00280,Palheta Limpador SKF Linha Toyota CX 12,Palheta Limpador,SKF,Linha Toyota,45.88,29.19,CX 12,S,
SKU00281,Palheta Limpador Cofap Linha Nissan KIT 3,Palheta Limpador,Cofap,Linha Nissan,19.51,12.10,KIT 3,S,2024-11-26
SKU00282,Palheta Limpador SKF Linha GM CX 6,Palheta Limpador,SKF,Linha GM,23.09,14.61,CX 6,S,
SKU00283,Palheta Limpador Cofap Linha Citroën KIT 3,Palheta Limpador,Cofap,Linha Citroën,52.79,30.23,KIT 3,S,
SKU00284,Palheta Limpador Cofap Linha GM KIT 3,Palheta Limpador,Cofap,Linha GM,51.66,32.38,KIT 3,S,2025-03-22
SKU00285,Palheta Limpador Cofap Linha Fiat KIT 3,Palheta Limpador,Cofap,Linha Fiat,33.59,18.86,KIT 3,S,
SKU00286,Palheta Limpador Cofap Linha Citroën CX 24,Palheta Limpador,Cofap,Linha Citroën,36.98,22.42,CX 24,S,
SKU00287,Palheta Limpador Cofap Linha Toyota KIT 5,Palheta Limpador,Cofap,Linha Toyota,35.41,21.22,KIT 5,S,
SKU00288,Palheta Limpador Cofap Linha Nissan KIT 5,Palheta Limpador,Cofap,Linha Nissan,52.41,32.75,KIT 5,S,
SKU00289,Palheta Limpador Cofap Linha Honda CX 24,Palheta Limpador,Cofap,Linha Honda,22.98,12.92,CX 24,S,
SKU00290,Palheta Limpador SKF Linha Renault KIT 5,Palheta Limpador,SKF,Linha Renault,22.96,13.78,KIT 5,S,
SKU00291,Palheta Limpador SKF Linha Ford UN,Palheta Limpador,SKF,Linha Ford,37.40,23.38,UN,S,
SKU00292,Palheta Limpador Cofap Linha Peugeot CX 6,Palheta Limpador,Cofap,Linha Peugeot,49.53,29.28,CX 6,S,2025-10-24
